transaction_id,user_id,date,amount,category,payment_method,monthly_budget,cumulative_spend,financial_health_score
TRANS033951,CUST00001,2023-03-14,179000,Hiburan & Nongkrong,Bank Transfer,1614000,179000,88.91
TRANS023682,CUST00001,2023-03-24,29000,Makan & Minum,Bank Transfer,1614000,208000,87.11
TRANS002749,CUST00001,2023-04-14,480000,Belanja Umum,Credit Card,1614000,480000,70.26
TRANS012804,CUST00001,2023-04-15,52000,Kebutuhan Kuliah,Credit Card,1614000,532000,67.04
TRANS007555,CUST00001,2023-05-21,45000,Transportasi,Credit Card,1614000,45000,97.21
TRANS004499,CUST00001,2023-10-01,39000,Makan & Minum,E-Wallet,1614000,39000,97.58
TRANS043649,CUST00001,2023-12-03,1739000,Tagihan & Kos,Bank Transfer,1614000,1739000,0.0
TRANS014531,CUST00001,2024-01-04,35000,Makan & Minum,E-Wallet,1614000,35000,97.83
TRANS043040,CUST00001,2024-02-14,63000,Makan & Minum,Bank Transfer,1614000,63000,96.1
TRANS048461,CUST00001,2024-03-10,176000,Hiburan & Nongkrong,E-Wallet,1614000,176000,89.1
TRANS034791,CUST00001,2024-04-11,29000,Makan & Minum,E-Wallet,1614000,29000,98.2
TRANS028060,CUST00001,2024-05-01,65000,Hiburan & Nongkrong,Credit Card,1614000,65000,95.97
TRANS041348,CUST00001,2024-06-09,18000,Transportasi,Credit Card,1614000,18000,98.88
TRANS028620,CUST00001,2024-06-12,174000,Kebutuhan Kuliah,E-Wallet,1614000,192000,88.1
TRANS003534,CUST00001,2024-07-10,68000,Makan & Minum,Bank Transfer,1614000,68000,95.79
TRANS019966,CUST00001,2024-08-08,87000,Hiburan & Nongkrong,Bank Transfer,1614000,87000,94.61
TRANS049386,CUST00001,2024-08-19,48000,Makan & Minum,Bank Transfer,1614000,135000,91.64
TRANS006756,CUST00001,2024-08-25,17000,Makan & Minum,E-Wallet,1614000,152000,90.58
TRANS045777,CUST00001,2024-08-26,25000,Transportasi,E-Wallet,1614000,177000,89.03
TRANS030322,CUST00001,2024-12-11,29000,Transportasi,Bank Transfer,1614000,29000,98.2
TRANS020668,CUST00001,2024-12-14,30000,Makan & Minum,Bank Transfer,1614000,59000,96.34
TRANS026804,CUST00001,2024-12-30,28000,Makan & Minum,Bank Transfer,1614000,87000,94.61
TRANS029700,CUST00002,2023-01-09,73000,Makan & Minum,E-Wallet,3163000,73000,97.69
TRANS030166,CUST00002,2023-02-16,162000,Kebutuhan Kuliah,Credit Card,3163000,162000,94.88
TRANS011852,CUST00002,2023-03-03,46000,Makan & Minum,E-Wallet,3163000,46000,98.55
TRANS002402,CUST00002,2023-04-19,12000,Transportasi,Credit Card,3163000,12000,99.62
TRANS014213,CUST00002,2023-04-24,26000,Transportasi,Credit Card,3163000,38000,98.8
TRANS049043,CUST00002,2023-07-24,49000,Transportasi,Credit Card,3163000,49000,98.45
TRANS037249,CUST00002,2023-08-05,30000,Makan & Minum,Credit Card,3163000,30000,99.05
TRANS000737,CUST00002,2023-08-18,166000,Hiburan & Nongkrong,Credit Card,3163000,196000,93.8
TRANS024461,CUST00002,2023-09-03,497000,Belanja Umum,Credit Card,3163000,497000,84.29
TRANS000525,CUST00002,2023-09-11,52000,Kebutuhan Kuliah,Credit Card,3163000,549000,82.64
TRANS026970,CUST00002,2023-11-05,73000,Makan & Minum,Bank Transfer,3163000,73000,97.69
TRANS023873,CUST00002,2023-11-25,158000,Kebutuhan Kuliah,Bank Transfer,3163000,231000,92.7
TRANS042785,CUST00002,2023-12-21,161000,Hiburan & Nongkrong,Credit Card,3163000,161000,94.91
TRANS035243,CUST00002,2024-02-08,97000,Kebutuhan Kuliah,Credit Card,3163000,97000,96.93
TRANS047100,CUST00002,2024-03-15,24000,Makan & Minum,Credit Card,3163000,24000,99.24
TRANS048616,CUST00002,2024-03-17,258000,Hiburan & Nongkrong,E-Wallet,3163000,282000,91.08
TRANS003494,CUST00002,2024-03-25,157000,Belanja Umum,Bank Transfer,3163000,439000,86.12
TRANS019815,CUST00002,2024-06-09,29000,Makan & Minum,Credit Card,3163000,29000,99.08
TRANS019930,CUST00002,2024-07-15,119000,Hiburan & Nongkrong,Bank Transfer,3163000,119000,96.24
TRANS006928,CUST00002,2024-07-31,72000,Makan & Minum,E-Wallet,3163000,191000,93.96
TRANS005292,CUST00002,2024-08-22,17000,Transportasi,E-Wallet,3163000,17000,99.46
TRANS048772,CUST00002,2024-09-06,91000,Hiburan & Nongkrong,Credit Card,3163000,91000,97.12
TRANS027271,CUST00002,2024-12-13,73000,Kebutuhan Kuliah,Credit Card,3163000,73000,97.69
TRANS018817,CUST00004,2023-01-17,33000,Makan & Minum,Credit Card,1878000,33000,98.24
TRANS035470,CUST00004,2023-01-25,18000,Makan & Minum,Credit Card,1878000,51000,97.28
TRANS029000,CUST00004,2023-01-27,468000,Belanja Umum,Credit Card,1878000,519000,72.36
TRANS010692,CUST00004,2023-03-30,33000,Transportasi,Bank Transfer,1878000,33000,98.24
TRANS045484,CUST00004,2023-04-08,52000,Makan & Minum,Credit Card,1878000,52000,97.23
TRANS024483,CUST00004,2023-04-24,571000,Tagihan & Kos,Bank Transfer,1878000,623000,66.83
TRANS042143,CUST00004,2023-04-28,74000,Makan & Minum,Bank Transfer,1878000,697000,62.89
TRANS035706,CUST00004,2023-04-29,40000,Transportasi,Credit Card,1878000,737000,60.76
TRANS015558,CUST00004,2023-06-09,54000,Makan & Minum,E-Wallet,1878000,54000,97.12
TRANS019648,CUST00004,2023-07-24,168000,Hiburan & Nongkrong,Bank Transfer,1878000,168000,91.05
TRANS040803,CUST00004,2023-08-22,600000,Tagihan & Kos,Bank Transfer,1878000,600000,68.05
TRANS018826,CUST00004,2023-10-07,43000,Transportasi,Bank Transfer,1878000,43000,97.71
TRANS040340,CUST00004,2023-10-11,254000,Hiburan & Nongkrong,Bank Transfer,1878000,297000,84.19
TRANS022175,CUST00004,2023-10-23,446000,Belanja Umum,Bank Transfer,1878000,743000,60.44
TRANS003394,CUST00004,2023-11-06,57000,Makan & Minum,Bank Transfer,1878000,57000,96.96
TRANS041567,CUST00004,2023-12-03,41000,Makan & Minum,Credit Card,1878000,41000,97.82
TRANS039528,CUST00004,2024-01-09,47000,Transportasi,Credit Card,1878000,47000,97.5
TRANS012999,CUST00004,2024-01-16,43000,Makan & Minum,Credit Card,1878000,90000,95.21
TRANS018732,CUST00004,2024-02-20,44000,Transportasi,Bank Transfer,1878000,44000,97.66
TRANS049650,CUST00004,2024-03-29,730000,Tagihan & Kos,E-Wallet,1878000,730000,61.13
TRANS046371,CUST00004,2024-06-04,35000,Transportasi,E-Wallet,1878000,35000,98.14
TRANS024823,CUST00004,2024-06-07,18000,Transportasi,Credit Card,1878000,53000,97.18
TRANS022739,CUST00004,2024-06-17,16000,Transportasi,E-Wallet,1878000,69000,96.33
TRANS037176,CUST00004,2024-07-02,17000,Makan & Minum,Bank Transfer,1878000,17000,99.09
TRANS042602,CUST00004,2024-07-22,140000,Belanja Umum,Credit Card,1878000,157000,91.64
TRANS048824,CUST00004,2024-08-05,20000,Transportasi,E-Wallet,1878000,20000,98.94
TRANS044538,CUST00004,2024-08-15,108000,Hiburan & Nongkrong,Bank Transfer,1878000,128000,93.18
TRANS010986,CUST00004,2024-08-28,39000,Transportasi,E-Wallet,1878000,167000,91.11
TRANS000339,CUST00004,2024-08-30,36000,Transportasi,E-Wallet,1878000,203000,89.19
TRANS004244,CUST00004,2024-10-19,274000,Hiburan & Nongkrong,Credit Card,1878000,274000,85.41
TRANS014844,CUST00004,2024-11-21,18000,Makan & Minum,E-Wallet,1878000,18000,99.04
TRANS029217,CUST00004,2024-12-04,38000,Makan & Minum,Credit Card,1878000,38000,97.98
TRANS000476,CUST00004,2024-12-21,28000,Transportasi,Credit Card,1878000,66000,96.49
TRANS004510,CUST00005,2023-01-25,24000,Makan & Minum,E-Wallet,2050000,24000,98.83
TRANS024190,CUST00005,2023-02-03,42000,Transportasi,E-Wallet,2050000,42000,97.95
TRANS016022,CUST00005,2023-03-01,206000,Hiburan & Nongkrong,Credit Card,2050000,206000,89.95
TRANS032920,CUST00005,2023-04-24,32000,Transportasi,Credit Card,2050000,32000,98.44
TRANS027698,CUST00005,2023-05-18,10000,Transportasi,Bank Transfer,2050000,10000,99.51
TRANS020516,CUST00005,2023-05-19,146000,Kebutuhan Kuliah,Credit Card,2050000,156000,92.39
TRANS018444,CUST00005,2023-06-07,26000,Transportasi,E-Wallet,2050000,26000,98.73
TRANS041507,CUST00005,2023-06-28,32000,Transportasi,Credit Card,2050000,58000,97.17
TRANS045567,CUST00005,2023-09-04,28000,Transportasi,Bank Transfer,2050000,28000,98.63
TRANS028330,CUST00005,2023-10-02,47000,Makan & Minum,Credit Card,2050000,47000,97.71
TRANS008521,CUST00005,2023-10-15,229000,Hiburan & Nongkrong,Bank Transfer,2050000,276000,86.54
TRANS026463,CUST00005,2023-11-07,33000,Transportasi,Bank Transfer,2050000,33000,98.39
TRANS013554,CUST00005,2023-12-10,42000,Makan & Minum,Bank Transfer,2050000,42000,97.95
TRANS015250,CUST00005,2024-01-12,213000,Hiburan & Nongkrong,E-Wallet,2050000,213000,89.61
TRANS030580,CUST00005,2024-01-12,39000,Makan & Minum,Credit Card,2050000,252000,87.71
TRANS015518,CUST00005,2024-01-25,13000,Transportasi,E-Wallet,2050000,265000,87.07
TRANS012909,CUST00005,2024-02-13,24000,Makan & Minum,E-Wallet,2050000,24000,98.83
